"FieldName","ClassName","InitializerType","MethodName","ArgsType","Arguments"
"testEvaluator_Persistent","ObjectId","MethodInvocation","ObjectId","String||String||Number||","""X""||""k""||3||"
"testEvaluator_Persistent","ObjectId","MethodInvocation","ObjectId","String||String||Number||","""X""||""k""||4||"
"testEvaluator_Persistent_StringId","ObjectId","MethodInvocation","ObjectId","String||String||String||","""X""||""k""||""A""||"
"testEvaluator_Persistent_StringId","ObjectId","MethodInvocation","ObjectId","String||String||String||","""X""||""k""||""B""||"
"testEvaluator_Persistent_MultiKey","ObjectId","MethodInvocation","ObjectId","String||","""X""||"
"testConstructorWithCollection","ObjectId","MethodInvocation","ObjectId","String||String||Number||","""Artist""||""ARTIST_ID""||1||"
"testEquals","ObjectId","MethodInvocation","ObjectId","String||String||Number||","""Artist""||""ARTIST_ID""||1||"
"testHashCode","ObjectId","MethodInvocation","ObjectId","String||String||Number||","""Artist""||""ARTIST_ID""||1||"
"testSingleIntPk","DbEntity","InstanceCreation","DbEntity","String||","""X""||"
"testSingleLongPk","DbEntity","InstanceCreation","DbEntity","String||","""X""||"
"testSingleStringPk","DbEntity","InstanceCreation","DbEntity","String||","""X""||"
"testIdEncoding","DbEntity","InstanceCreation","DbEntity","String||","""X""||"
"testMixedCompoundPk","DbEntity","InstanceCreation","DbEntity","String||","""X""||"
